year,trm_mean,trm_min,trm_max,trm_pct_change_std,vol30_mean
1991,630.1190476190476,620.62,643.42,0.9947834952482107,
1992,680.3828455284553,632.37,738.19,0.4236678329111815,0.4142022288779553
1993,786.7327642276423,737.55,819.55,0.17077919445105447,0.1470237432986973
1994,826.560931174089,804.33,844.4,0.19039754549617127,0.1882503301142036
1995,912.8582170542636,833.18,1003.47,0.3160184814295823,0.2774999823618873
1996,1036.635569105691,994.02,1074.72,0.26909416818952736,0.2549267810323861
1997,1141.6453719008264,1007.33,1307.54,0.42716203254594287,0.3760423251180728
1998,1427.8322314049587,1304.33,1599.15,0.5606381421304896,0.43796464041666133
1999,1758.577142857143,1525.59,2017.27,0.6405481487577582,0.6114337686562342
2000,2088.304609053498,1874.35,2232.24,0.3777434252216406,0.35775612498276965
2001,2300.0468442622955,2219.6,2378.41,0.2838667008292155,0.26743939763232055
2002,2508.8480327868856,2231.98,2888.23,0.5460463289898144,0.47974202772528785
2003,2878.3174166666668,2778.21,2968.88,0.36930244192912676,0.3524370740179363
2004,2626.2825000000003,2316.12,2778.92,0.4847950780882982,0.404917549127936
2005,2320.898535564854,2272.95,2397.25,0.3662685407663167,0.35645614166147227
2006,2358.459404255319,2225.44,2634.06,0.5434389416001191,0.4527288247942685
2007,2077.570381355932,1877.88,2261.22,0.7375293109573728,0.6688959611328652
2008,1964.5399159663866,1652.41,2392.28,1.293726150967692,1.1294896336673381
2009,2156.262489451477,1825.68,2596.37,1.0453325061672631,1.0264361373682873
2010,1897.5621008403361,1786.2,2029.54,0.6645027711080924,0.5520753064109926
2011,1846.7775630252102,1748.41,1972.76,0.514687189886343,0.5741171095120708
2012,1796.660127118644,1754.89,1915.02,0.4085505642930355,0.3965676835704804
2013,1869.3514285714286,1758.45,1952.11,0.38359288172855116,0.36694046189679536
2014,2001.3438396624472,1846.12,2446.35,0.5867138541849429,0.44461895541895885
2015,2748.264915254237,2360.58,3356.0,1.054681873750886,1.0321083410922152
2016,3050.9702100840336,2833.78,3434.89,1.0573998855385502,1.0765569113963491
2017,2950.544340425532,2837.9,3092.65,0.5453918395743683,0.5583018060643407
2018,2956.0453389830504,2705.34,3289.69,0.6992935833962982,0.6723079482275864
2019,3282.255648535565,3072.01,3522.48,0.6356796700430766,0.6326366980604216
2020,3696.3079831932773,3253.89,4153.91,1.0084142421602043,0.8881881949834356
2021,3749.12243697479,3420.78,4023.68,0.6775504387113939,0.6716606497638704
2022,4251.469663865546,3706.95,5061.21,1.039438201354666,1.008327905365629
2023,4323.969572649573,3822.05,4989.58,1.0042701929653166,0.9847419898082688
2024,4075.041050420168,3763.43,4478.21,0.6940685488541808,0.7025125874185203
2025,4084.326095238095,3716.73,4416.69,0.7088769806016566,0.6743500753891902
